query,label,paraphrase
چگونه یک پزشک خوب باشیم؟,5,
مهلت حذف اضطراری کی هست؟,1,
شرایط حذف ترم چیست؟,1,
فرم اشتغال به تحصیل چگونه دریافت کنیم؟,1,
چند واحد در حذف و اضافه میتوانیم برداریم؟,1,
چند واحد در حذف و اضافه میتوانیم حذف کنیم؟,1,
تعداد غیبت های مجاز چند جلسه میباشد؟,1,
با چه نمره ای مشروط می شویم؟,1,
معدل الف چیست؟,1,
معدل الف چند واحد می تواند بردارد؟,1,
چند واحد درس تخصصی در طول تحصیل داریم؟,1,
کجا انتخاب واحد انجام میدهیم؟,1,
در چه سایتی انتخاب واحد انجام میشود ؟,1,
چند واحد درس اختیاری در طول تحصیل داریم؟,1,
حذف و اضافه چند واحد میتوان تغییر داد؟,1,
آیا درست است در زمان امتحانات پروژه بدهیم؟,1,
آیا درست است در زمان امتحانات تکلیف بدهیم؟,1,
آیا نمره ی حل تمرین درس هوش مصنوعی کم نمیباشد؟,1,
شروع ترم جدید از چه تاریخی هست؟,1,
پیش نیاز های درس هوش مصنوعی چی هست؟,1,
رئیس دانشکده کیست؟,1,
کلاس 111 کجا هست؟,2,
ساعت باز بودن دانشکده چند است؟,2,
اموزش دانشکده کجا میباشد؟,2,
دانشکده در چه روز هایی باز هست؟,2,
کلاس 666 را میخواهم,2,
انجمن علمی دانشکده کجا هست؟,2,
نمازخانه ی دانشکده کجا هست؟,2,
باشگاه دانشگاه کجا هست؟,2,
آموزش کل دانشکده کجا هست؟,2,
رییس کل دانشکده کجا هست؟,2,
اتاق 004 کجا غیبش زد؟,2,
اتاق 005 کجا غیبش زد؟,2,
بوفه ی دانشکده کجا هست؟,2,
نقشه ی دانشکده چیست؟,2,
ساعت برگزاری کلاس هوش مصنوعی کی میباشد؟,2,
ساعت ناهار و نماز کی میباشد,2,
لاکر های دانشکده کجا هستند؟,2,
آب خوری دانشکده کجا هست؟,2,
کلاس 420 در طبقه ی چندم هست؟,2,
آسانسور دانشکده کجا میباشد؟,2,
شرایط گرفتن کتاب چگونه هست؟,3,
همزمان چند کتاب امانت میتوان گرفت؟,3,
جریمه دیرکرد تحویل چیست؟,3,
رمزعبور اینترنت دانشکده چیست؟,3,
کتاب را تا کی میتوانم تحویل بدهم؟,3,
یوزرنیم سیستم های سایت چه میباشد؟,3,
پسورد سیستم های سایت چه میباشد؟,3,
آیا به پرینتر میتوان وصل شد؟,3,
آیا سایت اسکنر دارد؟,3,
آیا برای استفاده از کتابخانه کارت دانشجویی لازم است؟,3,
این کتاب را چه کسی برده؟,3,
چند سیستم فعال در سایت هست؟,3,
سیستم عامل کامپیوتر های سایت چه میباشد؟,3,
آیا سیستم های سایت به کابل اینترنت وصل میشوند؟,3,
آیا سیستم های سایت به وای فای وصل میشوند؟,3,
آیا کتاب هالیدی در کتابخانه موجود است؟,3,
کدام کتاب برای درس هوش مصنوعی مناسب هست؟,3,
چند کتاب مربوط به هوش مصنوعی در کتابخانه وجود دارد؟,3,
منبع امتحانی هوش مصنوهی کدام کتاب هست؟,3,
مسیر رفتن به بخش کتاب های علمی و تخیلی چیست؟,3,
آسانسور خراب است.,4,
فضای اختصاص یافته به لابی کم هست.,4,
اتاقی برای بازی تعیین کنید,4,
کلاس ها حضوری شوند,4,
جشن ها را بیشتر کنید,4,
فعالیت انجمن ها دانشجویی بیشتر شوند,4,
کانال های ارتباطی دانشکده را فعال کنید,4,
لابی دانشکده رو چرا خراب کردین,4,
اساتید باید بروز تر بشوند,4,
ون ها را بیشتر کنید,4,
آبسرد کن ها درست نمیشن؟,4,
صندلی های دانشکده را بهتر کنید,4,
تعداد کمدها کم هست,4,
کیفیت غذا ها سلف را بهتر کنید,4,
نمرات در طول ترم را زیاد کنید,4,
فرجه ها را بیشتر کنید,4,
فضای طبیعی دور دانشکده را بیشتر کنید,4,
صندلی های معمولی در بیرون کلاس ها را بیشتر کنید,4,
سطح تمرینات درس هوش مصنوعی زیادی بالاست,4,
کمی به ما استراحت بدهید,4,
ورودی ماشین دانشگاه چطور ممکن است؟,5,
برنامه سماد رو چه پلتفرمی ساخته شده که نمیشه اپدیتش کرد؟,5,
غذا امروز چیه؟,5,
گربه های دورور دانشکده کجا رفتن؟,5,
هوا فردا چجوریه؟,5,
آلودگی امروز چجوریه؟,5,
ردیت یا تیک تاک؟,5,
ماکارونی بهتره یا پیتزا؟,5,
لیگ یا دوتا؟,5,
کانتر یا ولورانت؟,5,
امروز چند شنبس؟,5,
چه ماهی هستیم الان؟,5,
چه سالی هستیم الان؟,5,
چه سالی هستیم الان به قمری؟,5,
چه سالی هستیم الان به میلادی؟,5,
چه سالی هستیم الان به تقویم مایا؟,5,
امروز چندمه؟,5,
چند ساعت خواب نیاز داره یه دانشجو؟,5,
خسته نشدین اینهمه خوندین؟,5,
یدفعه ای پریدین به تهش نه؟,5,
برای ثبت نام باید کجا برم؟,1,
مهلت حذف اظطراری تا کی است؟,1,
چند واحد میتوان اخذ کرد؟,1,
در مهلت حذف و اضافه، چند درس می توان برداشت؟,1,
در مهلت حذف و اضافه، چند درس می توان حذف کرد؟,1,
آیا در حذف اظطراری هر چند واحد می خواهیم می توانیم حذف کنیم؟,1,
آیا در حذف اظطراری هر چند واحد می خواهیم می توانیم حذف کنیم؟,1,
آیا دروس آزمایشگاهی را می توان حذف کرد؟,1,
درس فیزیک 2 این ترم ارائه میشه؟,1,
امکانش هست در مهلت حذف و اضافه، درس فیزیک 2 اضافه شود؟,1,
چه دروسی در ترم تابستان ارائه می شود؟,1,
چگونه می توانم گواهی اشتغال به تحصیل را دریافت کنم؟,1,
کد برنامه درسی در سامانه گلستان چند است؟,1,
برنامه درسی را کجا می توانم مشاهده کنم؟,1,
چگونه می توان پذیرش غیر حضوری گرفت؟,1,
چگونه می توان دانشجوی مهمان شد؟,1,
چگونه می توان شناسه اینترنت دانشجویی را تغییر داد؟,1,
واحد به من کم رسیده، امکانش هست ظرفیت اضافه کنید؟,1,
چه دروسی این ترم ارائه شده؟,1,
آیا ترم بعد درس ریاضی مهندسی ارائه می شود؟,1,
معدل این ترم من چند شده است؟,1,
چگونه می توان معدل خود را دید؟,1,
درس فیزیک 2 را چه کسی ارائه می دهد؟,1,
آیا استاد صادقی این ترم هم فیزیک2 را رائه میده؟,1,
شرایط معدل الف شدن چیه؟,1,
سقف تعداد واحد برای معدل الف چیست؟,1,
در چه صورت مشروط می شویم؟,1,
تاریخ انتخاب واحد چه روزی است؟,1,
تاریخ حذف و اضافه چه روزی است؟,1,
تاریخ حذف اظطراری چه روزی است؟,1,
چرا نمی توانم انتخاب واحد بکنم؟,1,
نظرسنجی اساتید تا چه روزی مهلت داره؟,1,
اگر نظر سنجی اساتید را انجام ندم مشکلی پیش می آد؟,1,
در انتخاب واحد زیر 12 واحد به من رسیده، چه کار کنم؟,1,
کتابخانه کجاست؟,2,
سرویس بهداشتی کجاست؟,2,
اتاق ریئس دانشکده کجاست؟,2,
کلاس 110 کجاست؟,2,
شماره کلاس هایی که توی طبقه همکف هستند از چند تا چند است؟,2,
دانشکده بوفه دارد؟,2,
جمعه ها دانشکده بازه؟,2,
روز های تعطیل دانشکده بازه؟,2,
ایام عید دانشکده بازه؟,2,
آیا در این ایام کرونا دانشکده تعطیله؟,2,
لابی دانشکده کجاست؟,2,
آمفی تئاتر در کدوم طبقه است؟,2,
دانشکده چند طبقه دارد؟,2,
دانشکده شب تا ساعت چند باز است؟,2,
دانشکده ساعت چند باز می شود؟,2,
اتاق معاونت آموزشی کجاست؟,2,
اتاق اساتید در کدام طبقه است؟,2,
اتاق استاد صادقی کجاست؟,2,
چند کتاب می توانم همراه خودم ببرم؟,3,
چگونه کارت عضویت کتابخانه را بگیرم؟,3,
هزینه عضویت کتابخانه چقدر است؟,3,
انقضای کارت عضویت کتابخانه چه مدت است؟,3,
روی کامپیوتر های سایت چه سیستم عامل هایی نصبه؟,3,
قدیمی ترین چاپ مربوط به کدام کتاب است؟,3,
دسته بندی کتاب ها چیست؟,3,
ایا کتاب فیزیک هالیدی موجود است؟,3,
کدام چاپ ها از کتاب هالیدی 2 موجود است؟,3,
در صورت آسیب رساندن به کتاب ها چقد جریمه می شوم؟,3,
کلاس ها کی حضوری می شود؟,4,
کلاس ها تا کی مجازی می ماند؟,4,
چرا لابی دانشکده را بدون همفکری با دانشجویان خراب کردید؟,4,
ما به خراب کردن لابی توسط دانشکده معترضیم.,4,
لطفا برای امتحانات ترم، فرجه در نظر بگیرید.,4,
برای بین دو ترم فاصله ای برای استراحت دانشجویان در نظر بگیرید چون دائم در حال پروژه زدن هستیم.,4,
لطفا تعداد دستشویی های مردانه را بیشتر کنید.,4,
شیوه برگزاری امتحانات بعضی از استاد ها غیر منصفانه است.,4,
ما نیاز داریم کلاس ها ضبط شوند.,4,
بعضی از اساتید حقی برای غیبت دانشجو در نظر نمی گیرند. لطفا بررسی شود.,4,
لطفا برای ارائه دروس برنامه ریزی مناسبی داشته باشید. چون غیر منطقی ارائه می شوند.,4,
دانشگاه حق ندارد کلاس یا امتحانی را در روزی غیر از روز های دانشگاه برگزار کند.,4,
امتحان ها و تمرین ها با سطح اموزش مجازی تناسب ندارند.,4,
وحود برخی دروس بی ربط و ناکارآمد در چارت درسی,4,
توزیع نامناسب نمره توسط برخی اساتید و افزایش فشار به دانشجویان.,4,
ظرفیت محدود برای بعضی از کلاس ها,4,
چرا بعضی از دروس فقط در ترم خاصی رائه می شوند؟,4,
بی برنامه بودن بعضی از اساتید.,4,
چرا بعضی از آپشن ها مثل بازگشت به عقب در امتحان ها وجود ندارد؟,4,
داشتن ددلاین در ایام امتحانات درست نیست.,4,
لطفا اساتید نمرات را قبل از حذف و اضافه مشخص کنند.,4,
دانشجو درک نمی شود.,4,
لطفا به نظرسنجی اساتید توجه کنید و اعمال اثر کنید.,4,
بعضی از اساتید اخلاق مناسب و در شان دانشجو را ندارند.,4,
مایع دستشویی به موقع پر نمی شود.,4,
دستشویی ها کثیف هستند.,4,
آسانسور روبروی در دانشکده خراب است.,4,
لطفا بوفه ای برای دانشکده به صورت اختصاصی در نظر بگیرید.,4,
دانشکده کامپیوتر اینجاست؟,5,
دانشکده علوم کامپیوتر هم اینجاست؟,5,
از کدوم مسیر می توانم به دانشکده حقوق برسم؟,5,
آیا کیوسک دیگری هم تو دانشکده هست؟,5,
این دانشکده از چه سالی تاسیس شده؟,5,
این دانشکده چندتا دانشجو داره؟,5,
این یه گفته خبری است برای تست تو ای کیوسک.,5,
کیوسک میدونستی سوالای من توی ساخت تو نقش داشتن؟,5,
از اینجا سلف نزدیکتره یا دانشکده ریاضی؟,5,
سلام داداش خوبی؟ کیوسکی که میگن شمایی؟,5,
نام کاربری و رمز اکانت ام رو از کجا باید دریافت کنم؟,3,
سیستم های سایت برای پردازش های سنگین جوابگو هست؟,3,
کتابخونه کتاب آموزش الگوریتم داره؟,3,
چه ساعاتی میتونیم از کامپیوتر های دانشکده استفاده کنیم؟,3,
تو سایت دانشکده چند تا کامپیوتر هست؟,3,
رمز اکانت ام رو فراموش کردم چجوری لاگین کنم؟,3,
میشه رو سیستم ها ماشین مجازی نصب کرد؟,3,
کامپیوتر های سایت به اینترنت وصل میشن؟,3,
کتاب تو حوزه شبکه دارین؟,3,
سرورای دانشکده مشکل دارن؟,3,
به سیستم ها میشه فلش زد؟,3,
چرا شماره دانشجویی ام روی کتاب نخورده؟,3,
میتونم دوتا کتاب با هم بردارم؟,3,
فردا هم میشه از سیستم ها استفاده کرد؟,3,
رم این سیستم چنده؟,3,
برای استفاده از کامپیوترا باید یوزر داشته باشیم؟,3,
کتابخونه چقدر ظرفیت داره؟,3,
الان سایت شلوغه؟,3,
سیستم ها وبکم داره؟,3,
نامه از یه شرکت بیاریم دانشگاه مهر میزنه؟,1,
نامه گواهی اشتغال به تحصیل رو حضوری هم میشه گرفت؟,1,
معدل بالای چند استعداد درخشان محسوب میشه؟,1,
چرا درس مهندسی نت ظرفیتش انقدر کمه؟,1,
چرا سیستم عامل فقط با یه استاد ارائه میشه؟,1,
اگر استاد سر امتحان حاضر نشوند تکلیف چیه؟,1,
نظرسنجی اساتید تا کی مهلت داره؟,1,
اگر پرسشنامه سلامت و روان رو پرنکنیم چی میشه؟,1,
مهلت ثبت نام تا کی هست؟,1,
کارنامه رو کجای گلستان میتونم ببینم؟,1,
چرا نمره درس سیستم عامل برای من اشتباهی رد شده؟,1,
این ترم مدرسه تکمیلی ارائه میشه؟,1,
پیش نیاز کارآموزی چیه؟,1,
بازه امتحانات چه زمانی است؟,1,
امتحانات این ترم حضوریه یا مجازی؟,1,
یک درس رو همراه با پیش نیازش میشه باهم برداشت؟,1,
بعد از کارآموزی باید از شرکت نامه بگیرم؟,1,
کارآموزی در مجموع باید چند ساعت باشه؟,1,
استاد علی اکبری هنوز در دانشکده فعالیت دارن؟,1,
روز های تعطیل آموزش دانشکده باز هست؟,1,
تو دانشکده چند تا سایت هست؟,2,
کلاس هوش مصنوعی کجا تشکیل میشه؟,2,
استاد جهانیان تو دانشکده هستن الان؟,2,
اینجا در کل چند طبقه است؟,2,
جشن شب یلدا کجا برگزار میشه؟,2,
ازینجا تا خوابگاه تقریبا چقدر راهه؟,2,
میخوام برم دانشکده تربیت بدنی از کجا باید برم؟,2,
بوفه کامپیوتر کجاست؟,2,
بوفه غذای گرم هم داره؟,2,
کلاس 101 کجا میشه؟,2,
شماره آموزش دانشکده کامپیوتر چنده؟,2,
طبقه دوم گرم کن داره؟,2,
نمازخانه داره اینجا؟,2,
انجمن علمی ها کدوم طبقه اند؟,2,
آسانسور فقط برای اساتیده؟,2,
استاد جهانیان رو کجا میتونم پیدا کنم,2,
تابلو اعلانات کجاست؟,2,
چرا در دفتر آموزش بسته است؟,2,
کلاس رفع اشکال ریاضی 2 اینجا برگزار میشه؟,2,
همایش چه ساعتیه؟,2,
چرا انقدر کلاس های آنلاین بی نظم برگزار می شود؟,4,
چرا برای امتحانات فرجه در نظر گرفته نشده است؟,4,
چرا برنامه امتحانات انقدر فشرده چیده شده است؟,4,
لابی رو چرا خراب کردید؟,4,
سیستم گرمایشی خرابه لطفا تعمیرش کنید,4,
چراغ های لابی رو لطفا تعویض کنید,4,
لطفا مهلت نهایی تحویل پروژه ها رو کمی تمدید کنید,4,
برای حضوری شدن دانشگاه برنامه ای در نظر گرفته شده؟,4,
سیستم های سایت خیلی ضعیفه,4,
کلاسای طبقه سوم نورگیر خیلی بدی دارند,4,
صدای ناشی از تعمیرات ساختمان در کتابخانه اذیت کننده است,4,
تعداد انجمن علمی ها خیلی کم است,4,
چرا بوفه بعد از ساعت 3 تعطیل است؟,4,
شیشه های درب ورودی خیلی کثیفه,4,
برای امتحانات فرصت مطالعه بسیار کم است,4,
در ایام امتحانات تعداد تمارین و پروژه ها را کمتر کنید,4,
ساعت دیواری بعضی کلاس ها عقب مانده است,4,
تداخل واحد های ارائه شده به شدت زیاده,4,
زمان امتحان های مجازی خیلی کم است,4,
لطفا تعداد اساتید درس ریزپردازنده را بیشتر کنید,4,
چه انجمن علمی هایی تو دانشکده وجود داره؟,5,
دما هوا چند درجه است؟,5,
فوتبال استقلال و مس چند چند شد؟,5,
زمین چمن دانشگاه کی سانس خالی داره؟,5,
دانشگاه تهران این ترم مهمان میگیره؟,5,
حالت خوبه؟,5,
فردا چندشنبه است؟,5,
قیمت لبتاب مک بوک پرو چند است؟,5,
دیجی کالا چند سال است افتتاح شده؟,5,
اغلب دانشجویان این دانشکده در کجا مشغول به کار می شوند؟,5,
از دانشجویان این دانشکده کسی شاغل هست؟,5,
امروز مناسبت خاصی هست؟,5,
روز دانشجو چه روزی است؟,5,
کدام الگوریتم برای پروژه هوش مناسب تر است؟,5,
اون دانشجویی که خودکشی کرد از دانشکده کامپیوتر بوده؟,5,
بهترین دانشگاه برای اپلای کدومه؟,5,
چند درصد دانشجو های این دانشکده برای ادامه تحصیل میرن خارج؟,5,
از زندگی راضی هستی؟,5,
حقوق اساتید چقدر است؟,5,
رتبه دانشگاه بهشتی در ایران چند است؟,5,
برای ثبت نام باید کجا برم؟,1,
چجوری میشه کارنامه دانشجویی رو چاپ کرد؟,3,
برای دانشکده کامپیوتر بوفه احداث کنید,4,
محل سرویس بهداشتی در این طبقه کجاست؟,2,
لطفا از دانشجویان عالی رتبه هر ورودی تقدیر شود.,4,
آب و هوا امروز چطوره؟,5,
حراست دانشگاه کجاست؟,2,
درس های ترم بعد رو از کجای گلستان میتونم پیدا کنم،,1,
کتابخانه کدام طبقه است؟,2,
شب بخیر,5,
بهتر است برای دانشجویان سمینار های حضوری برگزار شود.,4,
آیا فردا دانشگاه تعطیل میباشد؟,2,
امکانات بیشتری در اختیار انجمن های دانشکده قرار دهید,4,
مراحل حذف اضطراری چگونه است؟,1,
هدف از تدریس دروس را یادگیری دانشجو قرار دهید.,4,
زمان برگذاری کلاس ها از چه تاریخی است؟,1,
ساعت چنده,5,
ساعت شروع کلاس هوش مصنوعی چنده؟,1,
برای تاخیر تحویل کتاب چقدر جریمه باید بپردازم؟,3,
لطفا به اساتید تاکید شود که حداقل یک ربع زودتر کلاس ها را تعطیل کنند.,4,
طریقه دریافت وام دانشجویی؟,1,
گوشیم کجاست,5,
اتاق معاونت دانشکده کجاست؟,2,
کلاس ها را از نمره محور بودن به دانش محور بود تغییر مسیر دهید.,4,
شماره آموزش کل چند است؟,1,
به چه کسی باید کتاب کتابخانه را تحویل دهم؟,2,
قیمت این پیتزا چند,5,
لطفا تعداد غیبت,4,
درس کامپایلر در کدام کلاس برگذار میشود,1,
از کجا می,2,
امروز چندمه؟,5,
برگه ورود به جلسه امتحان را از کجا باید گرفت؟,1,
ناهار چجوری بگیرم؟,2,
چگونه میتونم اکانت دانشگاه بسازم؟,3,
لطفا تعداد اساتیدی که دروس تخصصی و اصلی را ارائه می,4,
آدرس دانشگاه چیست؟,2,
سختگیری های بی,4,
خوابگاه دانشگاه کجاست؟,2,
کتابخانه کجاست؟,2,
اساتید دانشکده را ارزیابی مجدد بفرمایید.,4,
اتوبوس خوابگاه کی حرکت میکند؟,2,
حداکثر واحد های قابل اخذ چقدر است؟,1,
ایستگاه ون های دانشگاه کجاست؟,2,
لابی دانشکده کجاست؟,2,
چجوری میتونم رمز اکانت دانشگاهم رو بازیابی کنم؟,3,
مترو کجاست؟,2,
شنبه چندومه؟,5,
بیست و ششم این ماه چه روزیه؟,5,
آخرین مهلت نظر سنجی اساتید چه تاریخی است؟,1,
تعطیلات بعدی کیه؟,5,
آب,3,
چند ترم می,1,
چگونه اشتغال به تحصیل بگیرم؟,1,
تاریخ اتمام ساخت برج آزادی,5,
چجوری میتونم برای نمره اعتراض بزنم؟,1,
میخوام برم کرج؟,5,
آخرین چاپ کتاب ساختمان داده برای چه سالی است؟,3,
دربست؟,5,
بوفه مرکزی کجاست؟,2,
چگون میشه تصویه حساب کرد؟,1,
تاریخ انتخاب واحد کی است؟,1,
سلف کجاست؟,2,
از کجا کارت دانشجویی بگیرم؟,1,
رمز عبور اولیه برای ورود به سایت چیست؟,3,
شب از چه ساعتی شروع میشه؟,5,
تو نیکی کن در دجله انداز,5,
تمرین هارا کجا آپلود کنیم؟,3,
خونه خالیه,5,
از کجا میشه حذف ترم کرد؟,1,
چه روز هایی دانشکده تعطیل است؟,2,
میخوام روزه بگیرم,5,
نمازخانه کجاست؟,2,
میخوام درخت بکارم,5,
آرامگاه شهدای گمنام کجاست؟,2,
از کجا میشه درس رو حذف کرد؟,1,
نام کاربری برای ورود به سایت چیست؟,3,
هاب کجاست؟,2,
عینکم کجاست,5,
شیر دستشویی هارا تعمیر کنید,4,
با رئیس دانشکده چگونه میتوانم صحبت کنم؟,2,
چگونه برنامه بنویسم؟,5,
لابی جایگزین را در کجا میخواهید احداث کنید؟,4,
ترموکوبل چیست,5,
من دوتا میخوام,5,
ترم تابستان از چه تاریخی شروع میشود؟,1,
آینده شغلی دانشجویان را تضمین کنید,4,
دانلود فیلم Manchester by the sea,5,
دانشکده الهیات کجاست؟,2,
دانشکده تا چه ساعتی باز است؟,2,
کلاس های ساعت ۷ونیم و زودتر را لطفا به ساعات ۹ به بعد منتقل کنید.,4,
ارور ۴۰۴,5,
حداقل چند واحد باید در ترم داشته باشیم؟,1,
چجوری میشه تاریخ امانت کتاب را تمدید کرد؟,3,
بستری رقابتی برای دانشجویان فراهم کنید.,4,
آموزش چه ساعتی باز میشود؟,2,
آدرس سایت دانشگاه چیست؟,3,
لطفا برای کلاس ها سیستم تهویه هوا تعبیه کنید.,4,
آیا کتاب هوش مصنوعی موجود دارید؟,3,
تاریخ شروع امتحانات ترم؟,1,
برای ثبت نام باید کجا برم؟,1,مراحل ثبت نام چیست؟
مهلت حذف و اضافه تا کی هست؟,1,تا کی برای حذف و اضافه وقت داریم؟
چطور کارنامه رسمی بگیرم؟,1,از کجا کارنامه رسمی بگیرم؟
شرایط حذف اضطراری چیست؟,1,در چه شرایطی میشه حذف اضطراری کرد؟
کف واحدهای هر ترم چقدر هست؟,1,حداقل واحد های هر ترم چقدر هست؟
سقف واحدهای هر ترم چقدر هست؟,1,حداکثر واحدهای هر ترم چقدر هست؟
درس مدرسه تکمیلی اجباری هست؟,1,برای فارغ التحصیلی بایدحتما مدرسه تکمیلی پاس کنیم؟
نمره درس مدرسه تکمیلی قبول و مردود هست یا نمره دارد؟,1,مدرسه تکمیلی پاس و رد هست؟
نمره درس کارآموزی توی معدل حساب میشه؟,1,نمره درس کارآموزی پاس و رد هست؟
نظرسنجی اساتید را انجام ندهم مشکلی پیش می آید؟,1,نظرسنجی اساتید را انجام ندهم مهم است؟
چه مشکلی پیش می آید اگر نظرسنجی اساتید را انجام ندهم؟,1,چه تبعاتی دارد اگر نظرسنجی اساتید را انجام ندهم؟
خود اساتید نظرسنجی را می بینند؟,1,به خود اساتید هم نظرسنجی ها را نشان میدهید؟
چطور رشته فرعی برداریم؟,1,شرایط برداشتن رشته فرعی چیست؟
کتابخانه کدام طبقه است؟,2,کتابخانه کجاست؟
کتابخانه تا ساعت چند باز است؟,2,ساعت کاری کتابخانه تا کی است؟
دانشگاه تا ساعت چند باز است؟,2,ساعت کاری دانشگاه تا کی است؟
اتاق رییس دانشکده کجاست؟,2,اتاق رییس دانشکده کدام طبقه است؟
اتاق دکتر شمس فرد کجاست؟,2,اتاق دکتر شمس فرد کدام طبقه است؟
اتاق معاون آموزشی کجاست؟,2,اتاق معاون آموزشی کدام طبقه است؟
آبخوری کجاست؟,2,محل آبخوری کجاست؟
سایت دانشکده کجاست؟,2,محل سایت دانشکده کجاست؟
دانشکده جمعه ها بازه؟,2,دانشکده پنج شنبه ها بسته است؟
دانشکده پنج شنبه ها بازه؟,2,دانشکده پنج شنبه ها است؟
ساعت کاری کارکنان آموزش تا کی هست؟,2,کاری کارکنان آموزش تا کی هستند؟
چطور روی سرور دانشکده اکانت بگیرم؟,3,مراحل دریافت اکانت روی سرور دانشکده چیست؟
رمز شناسه بهشتی را از کجا بگیرم؟,3,رمز شناسه بهشتی را چطور دریافت کنم؟
روی کامپیوتر سایت اوبونتو نصبه؟,3,کامپیوتر های سایت اوبونتو نصب دارن؟
اگر کتاب رو دیر بیارم چقدر جریمه میشم؟,3,جریمه دیرکرد تحویل کتاب چقدر هست؟
آخرین چاپ کتاب هوش موجود هست؟,3,آخرین چاپ کتاب هوش را دارید؟
کجا سیستم هست که کتابها رو جستجو کنم؟,3,سیستم جستجوی کتابها کجاست؟
جریمه دیرکرد رو کجا پرداخت کنم؟,3,جریمه دیرکرد رو چطور پرداخت کنم؟
مهلت تحویل کتاب رو مجازی هم میشه تمدید کرد؟,3,مهلت تحویل کتاب، مجازی هم قابل تمدید است؟
رمز شناسه بهشتی را فراموش کردم، چطور رمز رو عوض کنم؟,2,رمز شناسه بهشتی را فراموش کردم، کجا رمز رو عوض کنم؟
حداکثر حجم اینترنت یک ماه چقدر هست؟,2,هر ماه چقدر اینترنت میتونم مصرف کنم؟
استاد محمدی بد درس میده.,4,استاد محمدی خوب درس نمیده.
استاد محمدی نمره رندوم میده.,4,منطقی پشت نمرات استاد محمدی نیست.
لطفا تعداد سرویس های بهداشتی طبقات را بیشتر کنید.,4,تعداد سرویس های بهداشتی طبقات کم است
لطفا تعداد آبخوری های طبقات را بیشتر کنید.,4,تعداد آبخوری های طبقات کم است
آمفی تئاتر سرده,4,آمفی تئاتر سرده لطفا رسیدگی کنید
آسانسور خراب شده لطفا رسیدگی کنید,4,آسانسور خرابه
کی کلاسها حضوری میشن؟,4,چرا کلاسا حضوری نمیشه؟
تمرین های درس هوش به نسبت نمره اش زیاده,4,نوشتن تمرین های هوش به نمره اش نمی ارزه
چرا لابی رو تبدیل به دوتا کلاس کردید؟,4,لابی رو چرا برداشتین؟
بوفه حقوق چرا بسته شد؟,4,بوفه حقوق رو چرا بستین؟
چرا هر ترم اینقدر واحدها با هم تداخل دارن؟,4,تداخل واحدها هر ترم زیاد هست
چرا امبدد رو فقط یک استاد ارائه میده؟,4,امبدد رو فقط یه استاد ارائه میده
چرا سایت دانشگاه اینقدر کنده؟,4,سایت دانشگاه کنده
چرا سامانه گلستان اینقدر کنده؟,4,سامانه گلستان کنده
از چه طریق باید نهار رزرو کنم؟,2,چطور باید نهار رزرو کنم؟
از چه طریق باید نهار روز فروش خریداری کنم؟,2,چطور نهار روز فروش خریداری کنم؟
دانشجوی بومی هم خوابگاه راه میدن؟,2,دانشجوی بومی هم میتونه بره خوابگاه؟
خوابگاه تا ساعت چند راه میدن؟,2,خوابگاه تا ساعت چند میشه رفت؟
امروز هوا بارانی است یا برفی؟,5,امروز هوا برفی است یا بارانی؟
چرا اینقدر شیب زمین دانشگاه زیاده؟,5,سیب زمین دانشگاه خیلی زیاده
سربالایی دانشگاه اذیت کننده است,5,سربالایی دانشگاه خیلی بده
کلاسی که هفت صبح شروع میشود اذیت کننده است,1,میشه کلاس هایی که هفت صبح شروع میشن را کمتر کنید؟
روی انتخاب دستیار آموزشی دقت بیشتری داشته باشید,4,روی انتخاب آموزشیار دقت بیشتری داشته باشید
دستیارهای آموزشی درس الگوریتم با دانشجو خیلی خوب راه می آیند,4,آموزشیارهای درس الگوریتم خوبند
در محوطه دانشگاه تصادف صورت گرفته است,5,توی محوطه دانشگاه تصادف شده
آخرین مهلت نظرسنجی اساتید کی هست؟,1,تا کی برای نظرسنجی اساتید وقت هست؟
کجا میتوانم به نمره دروس اعتراض کنم؟,1,چطور میتوانم به نمره دروس اعتراض کنم؟
استاد جواب اعتراضات به نمره را در گلستان نمیدهد، چکار کنم؟,1,اگر استاد جواب اعتراضات به نمره را در گلستان ندهد، چکار کنم؟
آخرین مهلت حذف و اضافه کی است؟,1,آخرین مهلت حذف و اضافه تا چه زمانی است؟
چرا هر ترم فرجه نداریم؟,4,فرجه نداریم
تعطیلات بین دو ترم خیلی کم است,4,تعطیلی بین دو ترم نداریم
پروژه ها کل زمان فرجه را از بین می برند,4,پروژه ها در زمان فرجه اذیت کننده است
کتابخانه صبح از ساعت چند باز است؟,3,ساعت کاری کتابخانه از کی است؟
سایت صبح از ساعت چند باز است؟,3,ساعت کاری سایت از کی است؟
دانشگاه صبح از ساعت چند باز است؟,2,ساعت کاری دانشگاه از کی است؟
شرایط برداشتن رشته فرعی چیست؟,1,با چه شرایطی میتونم رشته فرعی بردارم؟
مدارک ثبت نام را کجا تحویل بدهم؟,2,مدارک ثبت نام را باید کجا تحویل بدهیم؟
چه مدارکی برای ثبت نام لازم است؟,1,مدارک لازم برای ثبت نام چیست؟
سایت دانشگاه خیلی زشت بود، خوب شد تغییر کرد,4,سایت دانشگاه بهتر شد وقتی ظاهرش را تغییر دادید
