id,query,label
764,سایت گلستان رو عوض کنید,4
765,مراسم برترین ها برای هر ترم داشته باشیم.,4
766,هزینه مسابقات جهانی را دانشکده میدهد؟,2
767,کجا میتوانم به نمره دروس اعتراض کنم؟,1
768,چگونه شخصی میتواند در دانشکده ما مهمان شود؟,1
769,رشته مهندسی کامپیوتر بهشتی چه رتبه ای توی کشور داره؟,5
770,چجوری میشه رفت سایت؟,2
771,چگونه مهاجرت کنم؟,5
772,به ارزشیابی اساتید توجه کنید و گزارشی از نتیجه این ارزشیابی ها بعد از یک بازه مشخص اعلام شود,4
773,چه معدلی الف حساب میشه؟,2
774,شیوه برگزاری امتحانات بعضی از استاد ها غیر منصفانه است.,4
775,شروع انتخاب واحد کی هست؟,2
776,مهلت حذف اظطراری تا کی است؟,1
777,کلاس ها سطح کیفی پایینی دارن,4
778,چطور با ماشين وارد شوم,5
779,آموزش دانشکده به درستی پاسخگوی دانشجویان نیست,4
780,دروس افتاده نیاز به پرداخت شهریه دارد؟,1
781,بی برنامه بودن بعضی از اساتید.,4
782,برای گرفتن مدارک معافیت تحصیلی به کجا باید مراجعه کرد,2
783,می تونم روی سیستم سایت برنامه نصب کنم؟,3
784,بوفه ی دانشکده کجاست؟,2
785,پارکینگ به دانشجویان اختصاص دهید,5
786,انتخاب واحد ترم تابستان هم مثل انتخاب واحد های عادیه؟,1
787,کارنامه کلی رو از کدوم بخش دریافت کنم؟,1
788,هزینه ترم تابستان چقدر است؟,1
789,چه ساعاتی میتونیم از کامپیوتر های دانشکده استفاده کنیم؟,3
790,دستشویی کجاس ؟,2
791,رشته مهندسی کامپیوتر چند واحد درس عمومی دارد؟,1
792,چه مدارکی رو باید در گلستان آپلود کنم؟,1
793,سیستم تصحیح خودکار حقمون ضایع میکنه,4
794,چرا هنوز از گلستان استفاده میکنیم؟,4
795,تخصص استاد شمس فرد چی می باشد؟,2
796,چطوری تغییر رشته بدم؟,1
797,امتحان فلان استاد خیلی سخت بود.,4
798,استاد درس نمره ام را وارد نکرده چگونه درسی که این درس پیشنیازش هست را بردارم,1
799,آیا میتوانم کتاب فیزیک هالیدی را به امانت بگیرم؟,3
800,دانشجویان کدام رشته در سال 1398 پذیرش بیشتری در دانشگاه ما داشته اند؟,5
801,هدف از تدریس دروس را یادگیری دانشجو قرار دهید.,4
802,آیا اصفهان در شمال ایران است؟,5
803,تهرانیا هم شامل خوابگاه میشن؟,1
804,میدونید کلاس مبانی برنامه نویسی کجا هست؟,1
805,درس هوش مصنوعی ترم بعد توسط چه کسی ارائه میشه؟,1
806,کارگاه متلب آیا ارائه میشود ؟,1
807,دستشویی کجاست؟,2
808,لطفا زمان استفاده از سایت را در ایام کرونا بیشتر کنید.,4
809,سرویس های خوابگاه تا کجا میرن؟,5
810,ورژن 32 بیتی اوبونتو روی کامپیوترای سایت داریم؟,3
811,دانشکده کامپیوتر چند کلاس دارد؟,2
812,تا چه ساعتی می توان در دانشکده حضور داشت؟,2
813,کارامل ماکیاتو یا لته؟,5
814,چطوری به دانشگاه های دیگه مهمان بشیم؟,1
815,میشه در سایت چیزی خورد؟,3
816,اموزش کجاست,2
817,از کجا باید راکت پینگ پونگ بگیرم ؟,2
818,چه رشته هایی ارایه میشود,5
819,آموزشکده معماری وهنر کجا است؟,2
820,کتاب تو حوزه شبکه دارین؟,3
821,معدل الف چند واحد میتونه برداره؟,1
822,دانشکده تا چه ساعتی باز است؟,2
823,آمفی تائتر کجا است ؟,2
824,چگونه می توان دانشجوی مهمان شد؟,1
825,همایش ایدز مجتمع روان بسیار خوب و واضح بود.,5
826,شرایط ارشد مستقیم چیست؟,1
827,اغشته شدن میوه ها به مواد سمی ایا بخاطر کود های شیمیایی است؟,5
828,رستوران مرکزی کجا قرار دارد؟,2
829,سالن آمفی تائتر کجا قرار دارد ؟,2
830,شب بخیر,5
831,معدل الف چند واحد می تواند بردارد؟,1
832,از دانشکده های دیگه می تونیم درس برداریم؟,1
833,تمرین های درس هوش به نسبت نمره اش زیاده,4
834,دستشویی ها کثیف هستند.,4
835,آیا مزیتی برای اعضای حل تمرین وجود دارد؟,1
836,درس برنامه نویسی پیشرفته این ترم را چه کسی ارائه میده؟,1
837,سالن دانشگاه کجاست؟,5
838,بوفه حقوق رو چرا بستین؟,4
839,شیب خیابان اصلی دانشگاه خیلی زیاده؟,5
840,بعد از ساعت ناهار و نماز جواب سوالمو می دهید؟,1
841,هوا چقدر گرمه؟,5
842,وسایل پیدا شده رو کجا می ذارید؟,2
843,درس ساختمان داده پیشنیاز چه درس هایی هست؟,1
844,کلاس ها زمان بندش ایراد داره,1
845,ساعت ناهار و نماز کی میباشد,2
846,فرجه داریم,1
847,در اتاق بازی رو بستن.,2
848,کابل hdmi دارید؟,1
849,ایا امکان برداشتن دروس پیشنیاز و همنیاز با هم وجود دارد؟,1
850,چارت بهتر شد وقتی دروس سخت افزاری را کمتر کردید,4
851,برای استفاده از سلف باید کارت دانشجویی داشته باشیم؟,2
852,ترم تابستونه هزینه,1
853,برای کارآموزی چه مدارکی را لازم دارم؟,1
854,شرایط گرفتن کتاب چگونه هست؟,3
855,رئیس دانشکدمون کییه؟,2
856,افزایش امکانات سایت دانشکده از جمله نصب نرم افزار هایی که کرک های پیچیده و سخت دارند برای راحتی دانشجویان برای شبیه سازی ها و ....,4
857,کتابی که قبل از کرونا به امانت گرفتم در ایام کرونا جریمه بهش تعلق میگیره؟,3
858,جشن روز دانشجو کجا برگزار میشه؟,2
859,چه مدارکی برای ثبت نام لازم است؟,1
860,آزمایشگاه شبکه کجاس ؟,2
861,دوره ی کهاد چیست؟,1
862,تعداد سرویس های بهداشتی را افزایش دهید.,4
863,کتابخانه مرکزی دانشگاه کجا قرار دارد؟,2
864,دانشکده الهیات و ادیان کجاست؟,2
865,مهلت انتخاب واحد تا کی است؟,1
866,کدوم چاپ های کتاب هالیدی موجود هستن؟,3
867,نسخه انگلیسی کتاب فیزیک هالیدی رو دارید؟,3
868,آیا همه ی کتابها را میتوان قرض کرد؟,3
869,چقدر باید برای سوار شدن ون پرداخت کنیم؟,5
870,لابی کجاست؟,2
871,استاد محمدی خوب درس نمیده.,4
872,واحد عمومی و تخصصی تو ترم تابستون هزینه ش یکیه ؟,1
873,گلستان چیست؟,1
874,حداقل واحد های هر ترم چقدر هست؟,1
875,کجا میتونم کاغذامو پرینت بگیرم ؟,2
876,کتاب فیزیک هالیدی دارین؟,3
877,آیا امکان برداشتن درسی با دانشکده دیگر وحود دارد؟,1
878,حجم تکالیف بسیار زیاد است.,4
879,چرا تعداد اساتید باسواد کم می باشد؟,4
880,کلاس 105 کجاست,2
881,آمفی تئاتر کجا می شه؟,2
882,چطور می شه از تحصیل انصراف داد؟,1
883,غذای سلف تازه است؟,5
884,محدودیت هایی که برای امتحان ها گذاشته می شود ، دانشجویان را بیشتر به سمت تقلب میکشاند!,4
885,مدت زمان امتحانات به نسبت سختی انها بسیار کم است.,4
886,آیا به پرینتر میتوان وصل شد؟,3
887,زبان تخصصی توی کدوم کلاس برگزار می شه؟,2
888,لطفا به اساتید تاکید شود که حداقل یک ربع زودتر کلاس ها را تعطیل کنند.,4
889,خوابگاه بسته اس؟,2
890,پکیج visual studio رو میتوان رو فلش بریزید؟,3
891,ظرفیت درس های این ترم کم است.,4
892,قیمت مرغ چنده؟,5
893,چگونه ویندوز نصب کنیم؟,5
894,کد پستی دانشکده؟,2
895,شرایط وام دانشجویی چگونه است؟,1
896,ویرایش جدید کتاب هوش مصنوعی راسل را نمیتونم پیدا کنم.,3
897,چند واحد در حذف و اضافه میتوانیم برداریم؟,1
898,کلاس 105 کجاست,2
899,سرویس بهداشتی کثیفه,4
900,آموزش برق رو می گید کجاست؟,2
901,از اساتید بخواهید نمره را در طول ترم توزیع کنند.,4
902,مقدار رم کامپیوترای سایت چقدره؟,3
903,در حذف و اضافه چند واحد میتوان حذف کرد؟,1
904,تخت جمشید در کدوم استانه؟,5
905,مدت زمان قرض دادن یه کتاب چقدره؟,3
906,آیا کتاب CLRS در کتابخانه موجود است؟,3
907,شرایط بورس و اپلای چیست؟,2
908,لطفا ظرفیت درس الگوریتم را افزایش دهید.,1
909,ساعت کاری آموزش کل تا کی هست؟,2
910,امروز چندمه؟,5
911,چرا بوفه بعد از ساعت 3 تعطیل است؟,4
912,لابی اضافه کنید,4
913,اموزش زبان کجا ببینیم,5
914,کارنامه مهر شده میخوام.,1
915,اتاق دکتر شمس فرد کجاست؟,2
916,سرعت اینترنت دانشکده خیلی کم است. لطفا پیگیری شود.,4
917,رمز اینترنت دانشگاه چیه؟,2
918,پروژکتور کلاس 115 کار نمیکند، رسیدگی کنید,4
919,انتخاب واحد را خودم باید انجام دهم؟,1
920,وحود برخی دروس بی ربط و ناکارآمد در چارت درسی,4
921,اساتید باید بروز تر بشوند,4
922,چرا بعضی اساتید نمرات میانترم و تمرین هارا قبل از حذف اضطراری اعلام نمی کنند ؟,1
923,رمز گلستانم رو یادم رفته.,1
924,محدودیت های حذف و اضافه واحد چجوریه؟,1
925,شرایط ثبتنام ارشد مستقیم چیه؟,1
926,آخرین چاپ کتاب شهشانی مال چه سالیه؟,3
927,چه مدارکی لازمه برای ثبت نام ؟,1
928,استاد مهدیانی خوب تدریس میکنه.,4
929,آموزش دانشکده کجاس ؟,2
930,چگونه به ژاپنی بگوییم سلام؟,5
931,امفی تئاتر کجاست,2
932,درس 1 واحدی چرا 3 واحد کار میکشه؟,4
933,میتونیم یه درسو دوبار برداریم؟,5
934,استاد نیومدن یه ربع میتونیم بریم,1
935,آیا نمره ی حل تمرین درس هوش مصنوعی کم نمیباشد؟,1
936,شرایط ارشد بدون کنکور چه است؟,1
937,امتحانای این ترم حضوریه؟,1
938,آیا در حذف اظطراری هر چند واحد می خواهیم می توانیم حذف کنیم؟,1
939,رتبه دانشگاه بهشتی در ایران چند است؟,5
940,ببخشید سالن ورزشی خوابگاه کجا هستش؟,2
941,آیا داشنجویان در فرآیند انتخاب اعضای هر دانشکده تاثیر دارمد؟,5
942,چند ترم میتوان مشروط شد؟,1
943,شرایط اخذ ترم تابستانی چیست؟,1
944,کل واحد های دروس پایه در کارشناسی چقدر است؟,1
945,شرایط حذف ترم بدون سنوات چیه؟,1
946,ایا لپ تاپ هم میتوان قرض گرفت؟,3
947,چرا کوئرا داونه؟,5
948,سیستم عامل سیستم های سایت چیست؟,3
949,امتحان استاد آبین مطابق بودجه بندی نیست,4
950,جای پارک وجود داره یا نه؟,5
951,لطفا تعداد دستشویی های مردانه را بیشتر کنید.,4
952,پیتزا هم سلف میدهد؟,5
953,زمین چمن رو چجوری میتونیم رزرو کنیم؟,2
954,گل کاری محوطه ایده جذابی بود.,4
955,آیا انتخاب واحد ترم اول با دانشجویان است؟,1
956,کتاب خوب برای ریاضی 1,3
957,کیفیت کلاس ها پایین تر از سطح انتظار است.,4
958,دوره رهنما کالج کجا برگزار میشه,2
959,آخرین مهلت نظرسنجی اساتید کیه؟,1
960,معدل من در بین هم ورودی هایم چندم است؟,1
961,یه استادی هست هیچ کلاسیش تشکیل نشده حدود 5 ساله. چرا هنوز بهش کلاس میدید؟,4
962,آسانسور خاموش شده است.زودتر تعمیرش کنید.,4
963,میشه ظرفیت درس ها رو از اول انتخاب واحد زیاد قرار بدید؟,4
964,چرا فرجه نداریم؟,4
965,حداکثر سرعت مجاز در دانشگاه چقدر است؟,5
966,استاد راهنما هیچ راهنمایی در انتخاب واحد به ما نمیکنه.,4
967,ساعت کاری کتابخانه تا کی است؟,2
968,چجوری میتونم رمز اکانت دانشگاهم رو بازیابی کنم؟,3
969,تعداد غیبت های مجاز چند جلسه میباشد؟,1
970,کدام دانشگاه ها خارج بیشتر از دانشگاه و رشته ی ما دانشجو قبول می کند؟,5
971,کارت دانشجویی گم شود ، چه باید کرد؟,2
972,امروز استاد ابراهیمی تشریف آوردن؟,2
973,از اساتید بخواهید در تایم امتحانات تکلیف ندهند.,4
974,رو کامپیوترا چی نصبه ؟,3
975,دانشگاه چه روزهایی دایر می باشد؟,2
976,آیا امکان استفاده از سرورهای دانشگاه وجود دارد ؟,3
977,برای ثبت نام به چه چیزی نیاز دارم,1
978,جریمه نقص مدارک چیه؟,1
979,منابع درس معماری چه هستند؟,5
980,کتاب طراحی الگوریتم موجود است؟,3
981,هرچه سریعتر بساط این دانشگاه مجازی و امتحانات مجازی را جمع کیند,4
982,در خروج کجاست,2
983,میز تنیس کجاست,2
984,آموزش کل کجاست؟,2
985,تو نمازخونه نماز جماعت میخونن؟,2
986,دستگیره در کلاس 104 خیلی سفته.,4
987,حداکثر چند کتاب میتونم به امانت بگیرم؟,3
988,آسانسور سریع تر قرار دهید,4
989,کارت ورود به جلسه برای امتحانات لازمه؟,1
990,داشنگاه چه تیم های ورزشی دارد؟,5
991,کلاس ها رو مجازی و حضوری برگزار کنید.,4
992,جشن روز دانشجو چه تاریخی برگزار میشود؟,2
993,آیا تحصیل همزمان در دو دانشگاه مجاز می باشد؟,1
994,آیا میتوانم خودم نرم افزاری روی سیستم نصب کنم؟,3
995,یدفعه ای پریدین به تهش نه؟,5
996,کتابخونه میزهاش تحمل وزن پایینی دارن.,4
997,تعطیلات دهه فجر دانشگاه تعطیله؟,5
998,میتوان روی سیستم های سایت اوبونتو نصب کرد؟,3
999,نظرسنجی اساتید را نزدم چیکار کنم؟,1
1000,دوستم مهمان شده بود در خوابگاه ولی مسئولین خوابگاه خیلی با بدرفتاری اونو پذیرفتن.,4
1001,باشگاه دانشگاه کجا هست؟,2
1002,ویدیو های کلاس ها قایل دانلود نیستند,4
1003,مدت زمانی که کتاب دستم میمونه چقدره ؟,3
1004,شبکه محلی چه subnet mask ای داره ؟,3
1005,من کارت دانشجوییم رو گم کردم کسی اون رو تحویل نداده؟,2
1006,تا چند کتاب میتوان همزمان قرض گرفت؟,3
1007,لطفا به نظرسنجی اساتید توجه کنید و اعمال اثر کنید.,4
1008,ایا کتاب فیزیک هالیدی موجود است؟,3
1009,افراد غیر دانشکده میتونن داخل لابی بشینن,2
1010,ایمیل بهشتی من کار نمی کند.,1
1011,کی افزایش ظرفیت میزنه به کلاسا ؟,1
1012,لابی دانشکده کجاست؟,2
1013,تعداد سرویس های بهداشتی طبقات کم است,4
1014,پوشش افرا د داخل دانشگاه مهمه؟,5
1015,چگونه نهار رزرو کنم؟,2
1016,فراهم کردن VPNبرای دانشجویان,4
1017,فلان استاد ریکورد رو نمیزنه,4
1018,ترم آینده کی شروع میشه؟,1
1019,چرا نمره درس سیستم عامل برای من اشتباهی رد شده؟,1
1020,اگه بیش از چند ترم مشروط بشیم چی میشه ؟,1
1021,پارکینگ به دانشجویان داده می شود؟,5
1022,چطوری میشه رئیس دانشگاه رو دید؟,5
1023,ناهار چی بخوریم؟,5
1024,لطفا یک غدا برای من رزرو کنید.,5
1025,دانشکده پنج شنبه ها بازه؟,2
1026,در طبقه آخر چی هست؟,2
1027,کجا میتوانم درس بخوانم؟,3
1028,ساعت کاری سایت از کی است؟,3
1029,حراست چیه؟,5
1030,زمان انتخاب واحد بد موقع است.,4
1031,عباسپور کجاست؟,5
1032,از چه طریق باید نهار روز فروش خریداری کنم؟,2
1033,چند بار میتوان در طول کارشناسی مشروط شد؟,1
1034,لطفا برای ارائه دروس برنامه ریزی مناسبی داشته باشید. چون غیر منطقی ارائه می شوند.,4
1035,محل سایت دانشکده کجاست؟,2
1036,درس مربوط به اقتصاد هم ارائه بدید.,4
1037,کلاس 104 کجاست,2
1038,بعضی از اساتید حقی برای غیبت دانشجو در نظر نمی گیرند. لطفا بررسی شود.,4
1039,اتاق رییس دانشکده کجاست؟,2
1040,چند سیستم فعال در سایت هست؟,3
1041,به پرینتر سایت میتوان وصل شد؟,3
1042,کد مشاهده کارنامه کل در سیستم گلستان چند است؟,1
1043,بهتر است در مورد مسیر خوابگاه فکری شود,4
1044,اتاق دکتر شمس فرد کجاست؟,2
1045,آب,3
1046,چطور میتوان تدرس کرد,5
1047,شماره حراست دانشگاه چنده؟,2
1048,تاریخ امتحان هوش کی است؟,1
1049,آبخوری طبقه دوم خرابه.,4
1050,کارنامه ام را چطوری میتوانم بگیرم؟,1
1051,دانشگاه استخر دارد؟,2
1052,چطور مهمان شوم؟,1
1053,چنتا کامپیوتر دارین؟,3
1054,برای پیشگیری از کرونا باید چه کرد؟,5
1055,بهتر است کلاس های 7:30 تا 9 صبح حذف شوند.,4
1056,برای ثبت نام باید کجا برم؟,1
1057,با چه معدلی ، مشروط می شوم ؟,1
1058,کجا می توانم غذایم را گرم کنم؟,2
1059,مسابقات رو بیشتر کنید,4
1060,خوبه که ایر هاکی بیارید توی اتاق بازی.,4
1061,استخر دانشگاه در چه ساعاتی باز است ؟,5
1062,فاصله بین دو ترم خیلی کم است,4
1063,چه پاداشی برای افرادی که برای دانشکده مقام میاورد در نظر میگیرند؟,2
1064,کار میکنی؟,5
1065,چطور میتوان به حراست رسید؟,2
1066,میانگین شاخص الودگی هوای تهران چه قدر است؟,5
1067,شرایط اخذ معافیت تحصیلی برای مشمولین نظام وظیفه؟,1
1068,ممنون بابت آبخوریهای جدید.,4
1069,شرایط ثبت نام المپیادی ها چگونه است,1
1070,ترم اول انتخاب واحد داره؟,1
1071,چرا بارم تمرینات بعضی دروس با حجم کاری آن ها تناسب ندارد؟,4
1072,انجمن علمی دانشکده کجاست؟,2
1073,میخوام تی ای شم.,5
1074,برای استفاده از کتاب های کتابخانه آیا به کارت نیاز داریم ؟,3
1075,اکثر دانشجویان بعد از فارغ تحصیلی به کجا مهاجرت می کنند؟,5
1076,میشود در کلاس های بلا استفاده درس خواند؟,2
1077,از کجا میتوانم کارنامه مهر خورده بگیرم؟,1
1078,امتحان درس های معارف کجا برگزار میشه؟,2
1079,مسئول آموزش برخورد مناسبی با دانشجو ندارد.,4
1080,وقتی سفارش غذا می دهیم جلوی در دانشکده می توان تحویل گرفت؟,5
1081,چند قطعه عکس برای ثبت نام لازمه؟,1
1082,هر ترم چند واحد میتوانم حذف اضطراری کنم؟,1
1083,شماره گلستان رو میخوام عوض کنم.,1
1084,کی شام در خوابگاه می دهند؟,2
1085,ساعت بندی کلاس ها بد است.,4
1086,چند درصد فارغ التحصیلان مقطع کارشناسی معدل بالای 18 دارند؟,5
1087,برای استاد شدن در این دانشگاه چه سوابقی نیاز است؟,5
1088,نحوه درس خواندن.,5
1089,باشگاه دانشگاه کجاست؟,2
1090,کتاب موریس مانو موجود است؟,3
1091,ساعت استفاده از کتابخانه را می خواستم.,2
1092,مسئول کتابخانه ی دانشکده کیه؟,3
1093,میشه هم درس خوند هم کار کرد؟,5
1094,از کجا میتونم برنامه ی امتحانیمو ببینم؟,1
1095,آیا امروز باران خواهد آمد؟,5
1096,انتخاب واحد چجوریه؟,1
1097,تحویل دیپلم تا قبل ترم دوم ضروریه؟,1
1098,در های پشت دانشکده باز می شوند؟,2
1099,سایت کجاست؟,2
1100,میخوام برم دانشکده تربیت بدنی از کجا باید برم؟,2
1101,پروژه ها در زمان فرجه اذیت کننده است,4
1102,هنگام انتخاب واحد اگر مشکلی پیش آمد باید با چه کسی در میان گذشت؟,1
1103,آیا دانشگاه در ترم بعد باز می شود ؟,5
1104,تعداد دروس اختیاری را زیاد تر کنید تا انتخاب دانشجویان برای حیطه مورد نظرشون بیشتر باشد,4
1105,انجمن رباتیک کجاست,2
1106,اتاق 004 کجا غیبش زد؟,2
1107,چطور میتوانم نمراتم را ببینم؟,1
1108,دانشکده چند کلاس دارد ؟,2
1109,هزینه باشگاه دانشگاه چه قیمت است؟,5
1110,در کلاس های مجازی با قطعی اینرنت زیادی مواجه می شویم,4
1111,هوا چطوره؟,5
1112,شروع ترم جدید کی هست؟,1
1113,آیا در سایت سه راهی موجود هست؟,3
1114,واحد های عملی بیشتر از 1 واحد زمان گیر هستند,4
1115,سقف انتخاب واحد برای معدل الف چنده؟,1
1116,ایا میتونیم با هزینه خودمون یه رشته دیگه هم بخونیم همزمان؟,5
1117,از چه دری به دانشکده کامپیوتر نزدیک,5
1118,چرا اساتید وقتی به پایان ترم میرسد کلاس های جبرانی چندین ساعته بر گزار می کنند,4
1119,میتوانم معرفی به استاد بگیرم؟,1
1120,معاون اموزشی کیه؟,1
1121,انتخاب واحد کی شروع میشه,1
1122,دانشکده کامپیوتر چند طبقه دارد؟,2
1123,در محوطه دانشگاه تصادف صورت گرفته است,5
1124,تاریخ برگزاری جاواکاپ امسال کیه؟,2
1125,معدلمون چند بشه مشروطیم؟,1
1126,درس های عملی رو میتونیم حذف کنیم؟,1
1127,تا کی کتاب رو بیارم؟,3
1128,از کجا باید کارت ورود به جلسه امتحانات را بگیرم؟,1
1129,کیفیت میکروفون استاد جابری خوب نیست.,4
1130,کجا میتوانم معاون اموزشی را ببینم؟,2
1131,کجا میتوانم مسئول روابط عمومی دانشکده را ببینم؟,2
1132,دانشکده در چه روز هایی باز هست؟,2
1133,چرا هوا آلوده میشه مارو تعطیل نمیکنید؟,5
1134,دانشکده کامپیوتر پنجشنبه ها باز است؟,2
1135,چرا کتابهای کتابخانه بروز نیستند؟,4
1136,چطوری می تونیم دوره کهاد شرکت کنیم؟,1
1137,حذف و اضافه؟,1
1138,لطفا کتابخانه زودتر شروع به کارکند.,4
1139,ای کاش قبل امتتحانات فرجه ای برای مرور درس ها داشتیم!,4
1140,نقشه ی دانشکده چیست؟,2
1141,آخرین مهلت حذف و اضافه تا چه زمانی است؟,1
1142,چند واحد درس اختیاری در طول تحصیل داریم؟,1
1143,دانشکدهمون چقدر مساحت داره؟,2
1144,سیب زمین دانشگاه خیلی زیاده,5
1145,چه درصد از فارغ تحصیل های کارشناسی اپلای کردن؟,5
1146,لطفا درس های اختیاری بیشتری برای هر گروه آموزشی ارائه شود.,4
1147,مکانی برای تعامل درسی بین دانشجویان ایجاد کنید,4
1148,میخواستم ببینم نفر چندم از نظر معدل تو ورودی مون هستم.,1
1149,چطور بریم آزمایشگاه؟,2
1150,جشن روز دانشجو کجا برگزار میشه؟,2
1151,ویرایش هشتم فیزیک هالیدی را دارید؟,3
1152,صندوق انتقادات کجاست؟,2
1153,آیا میشود میزی در سایت رزرو کرد؟,3
1154,در استخری کجاست؟,2
1155,جریمه دیرکرد رو چطور پرداخت کنم؟,3
1156,آیا منابع درس فلان در کتابخانه موجود است؟,3
1157,آسانسور خراب شده.,4
1158,بوفه خوب این نزدیکیا کجاست؟,5
1159,بازه ی امتحان ها یکم طولانی نیست؟,4
1160,رمز وای فای دانشکده چیه؟,2
1161,استاد اکبری بر روی درس خود تسلط ندارند.,4
1162,برای دانشجویان فرصت های عملی در صنعت ایجاد شود,4
1163,بهتر است برای دانشجویان سمینار های حضوری برگزار شود.,4
1164,پر جمعیت ترین کشور دنیا؟,5
1165,مدت زمان استفاده از سیستم های سایت چقدر است؟,3
1166,کتاب پترسون را میخواهم کجاست؟,3
1167,چگونه دستیار اموزشی شوم,5
1168,ایا کتابخانه سالن مطالعه دارد؟,3
1169,تاریخ کمیسیون من چه زمانی است؟,5
1170,چطور برای سالن فوتسال دانشگاه زمان رزرو کنیم؟,2
1171,چطور می تونم شناسه بهشتی بگیرم؟,1
1172,تلفن دکتر جهانیان رو به من بدید لطفا.,1
1173,مدت مجاز نگه داری یک کتاب چقدر است؟,3
1174,آبخوری کجاست؟,2
1175,کیفیت غذای سلف پایینه,4
1176,تا چند بار می توان حذف ترم کرد؟,1
1177,معاون آموزشی کیه؟,2
1178,سیستم عامل کامپیوتر هاتون چیه؟,3
1179,دور همیلتونی در گراف چیست؟,5
1180,برنامه سماد رو چه پلتفرمی ساخته شده که نمیشه اپدیتش کرد؟,5
1181,واسه رزرو خوابگاه باید چیکار کنم؟,2
1182,کار مهمه؟,5
1183,رو سرور دانشکده اکانت می,3
1184,جلسات در ایام کرونا بصورت مجازی می باشد؟,5
1185,چه نسخه ی ویندوزی روی کامپیوترهای سایت نصب است؟,3
1186,برای دیدن پیشنیاز های دروس در سامانه گلستان چه کنیم؟,1
1187,همایش ها در کجا برگزار میشوند؟,2
1188,بوفه کجاست؟,2
1189,خوابگاه پسران کجاست؟,2
1190,دانشکده تا ساعت چند باز است؟,2
1191,ناهار خوری دخترا کجاست؟,2
1192,کتاب در مورد برنامه نویسی به زبان gezel در کتابخانه موجود داریم؟,3
1193,استاد باقری از روی لج نمره نمیدهد.,4
1194,چه نرم افزار هایی روی کامپیوترهای سایت نصبه؟,3
1195,تعداد کمدها کم هست,4
1196,چارت زوج و فرد بر چه اساسی مرتب زشده اند؟,1
1197,فرم اشتغال به تحصیل چگونه دریافت کنیم؟,1
1198,آیا از دانشکده های دیگر می توانم کتاب قرض کنم؟,3
1199,زمان برای پروژه,4
1200,فضای گرمایشی در فصل سرما در راهرو ها مناسب نیست,4
1201,کجا میتونم دکتر عطارزاده را ببینم؟,2
1202,دانشکده بوفه ندارد؟,4
1203,آمفی تئاتر سرده لطفا رسیدگی کنید,4
1204,شرایط ثبتنام ارشد مستقیم چیه؟,1
1205,چطوری باید بریم امفی تائتر؟,2
1206,نمره های درس مبانی فیزیک 1 هنوز وارد نشده.,1
1207,کتابخانه تا چه ساعتی بازه؟,3
1208,محدودیت سرعت را چگونه بردارم؟,3
1209,چگونه می توانم عضو کتابخانه شوم؟,3
1210,زمان امتحان های مجازی خیلی کم است,4
1211,هوا امروز آلوده,5
1212,چجوری باید اپلای کنم؟,5
1213,مراسم روز دانشجو کجا برگزار میشه؟,2
1214,تداخل واحدها هر ترم زیاد هست,4
1215,گرم کن های غذای دانشکده را زیاد تر کنید,4
1216,سلف جمعه ها هم باز است؟,2
1217,اساتید بعد از چند سال و چگونه می توانند عضو هیئت علمی شد؟,5
1218,رییس دانشکده کجاست؟,2
1219,کتابخانه چیست,5
1220,سالن مطالعه در ایام کرونا بازه؟,2
1221,مقدار وام دانشجویان هر ترم چقدر است؟,5
1222,به لابی نمیرسید؟,4
1223,برای گرفتن گواهی اشتغال به تحصیل باید چه کار کرد؟,1
1224,مسئول سلف چه کسی است؟,2
1225,از کجا می تونم غذا رزرو کنم؟,1
1226,فشار امتحانات و تمارین خیلی بالا می باشد.,4
1227,راه رسیدن به امفی تئاتر دانشکده چجوریه؟,2
1228,مشخصات سیستم های سایت چگونه است؟,3
1229,چجوری میتونم شناسه بهشتی بگیرم؟,3
1230,لابی دانشکده را چرا کنسل کردید؟,4
1231,کتاب سیستم عامل رو کجا میتونم پیدا کنم؟,3
1232,توی هر درس چندتا غیبت میشه کرد؟,1
1233,فردا چندشنبه است؟,5
1234,استعداد درخشان آیا تسهیلاتی داره؟,1
1235,کتاب هالیدی موجود است؟,3
1236,روز های تعطیل آموزش دانشکده باز هست؟,1
1237,کدوم طبقات دستشویی دارند؟,2
1238,برای ترم تابستان باید شهریه پرداخت کنیم؟,1
1239,برای ثبت نام ترم 9 باید شهریه پرداخت کنیم؟,1
1240,ظرفیت آسانسور دانشکده بسیار کم است,4
1241,یه شارژر توی لابی جا مونده کجا بذارمش؟,2
1242,جشن بیشتری برگزار کنید,4
1243,شرایط حذف پزشکی چیاس ؟,1
1244,کانال های ارتباطی دانشکده را فعال کنید,4
1245,چرا در ترم قبل از امتحانات، فرجه نمیگذارید؟,4
1246,انتخاب واحد ورودی 1400 کی است؟,1
1247,صندلی های کلاس ها اصلا خوب و راحت نیست!,4
1248,جدول حضور در دانشکده دکتر وحیدی رو می خواستم.,2
1249,امکان افزایش سنوات تحصیلی وجود دارد؟,1
1250,نحوه انتخاب واحد چطوره؟,1
1251,اتاق برای سیگار کشیدن داریم ؟,2
1252,چرا بعضی درس ها را فقط یک استاد تدریس میکند؟,4
1253,برنامه زمانی اساتید چگونه است؟,2
1254,به روزترین نسخه کتاب هالیدی در کتابخونه چیه؟,3
